Origin,Sex,Value,Date
Bhutan,Maschio,0,01-01-2013
Bielorussia,Maschio,0,01-01-1987
Bielorussia,Maschio,0,01-01-1988
Bielorussia,Maschio,0,01-01-1989
Bielorussia,Maschio,0,01-01-1990
Bielorussia,Maschio,0,01-01-1991
Bielorussia,Maschio,0,01-01-1992
Bielorussia,Maschio,0,01-01-1993
Bielorussia,Maschio,0,01-01-1994
Bielorussia,Maschio,0,01-01-1995
Bielorussia,Maschio,0,01-01-1996
Bielorussia,Maschio,0,01-01-1997
Bielorussia,Maschio,0,01-01-1998
Bielorussia,Maschio,1,01-01-1999
Bielorussia,Maschio,3,01-01-2000
Bielorussia,Maschio,5,01-01-2001
Bielorussia,Maschio,4,01-01-2002
Bielorussia,Maschio,5,01-01-2003
Bielorussia,Maschio,7,01-01-2004
Bielorussia,Maschio,8,01-01-2005
Bielorussia,Maschio,13,01-01-2006
Bielorussia,Maschio,14,01-01-2007
Bielorussia,Maschio,14,01-01-2008
Bielorussia,Maschio,16,01-01-2009
Bielorussia,Maschio,19,01-01-2010
Bielorussia,Maschio,22,01-01-2011
Bielorussia,Maschio,28,01-01-2012
Bielorussia,Maschio,30,01-01-2013
Bolivia,Maschio,8,01-01-1987
Bolivia,Maschio,6,01-01-1988
Bolivia,Maschio,6,01-01-1989
Bolivia,Maschio,8,01-01-1990
Bolivia,Maschio,25,01-01-1991
Bolivia,Maschio,0,01-01-1992
Bolivia,Maschio,26,01-01-1993
Bolivia,Maschio,22,01-01-1994
Bolivia,Maschio,20,01-01-1995
Bolivia,Maschio,19,01-01-1996
Bolivia,Maschio,23,01-01-1997
Bolivia,Maschio,29,01-01-1998
Bolivia,Maschio,32,01-01-1999
Bolivia,Maschio,44,01-01-2000
Bolivia,Maschio,49,01-01-2001
Bolivia,Maschio,51,01-01-2002
Bolivia,Maschio,43,01-01-2003
Bolivia,Maschio,118,01-01-2004
Bolivia,Maschio,152,01-01-2005
Bolivia,Maschio,182,01-01-2006
Bolivia,Maschio,202,01-01-2007
Bolivia,Maschio,223,01-01-2008
Bolivia,Maschio,295,01-01-2009
Bolivia,Maschio,434,01-01-2010
Bolivia,Maschio,596,01-01-2011
Bolivia,Maschio,745,01-01-2012
Bolivia,Maschio,809,01-01-2013
Bosnia-Erzegovina,Maschio,0,01-01-1987
Bosnia-Erzegovina,Maschio,0,01-01-1988
Bosnia-Erzegovina,Maschio,0,01-01-1989
Bosnia-Erzegovina,Maschio,0,01-01-1990
Bosnia-Erzegovina,Maschio,0,01-01-1991
Bosnia-Erzegovina,Maschio,0,01-01-1992
Bosnia-Erzegovina,Maschio,2,01-01-1993
Bosnia-Erzegovina,Maschio,20,01-01-1994
Bosnia-Erzegovina,Maschio,55,01-01-1995
Bosnia-Erzegovina,Maschio,70,01-01-1996
Bosnia-Erzegovina,Maschio,79,01-01-1997
Bosnia-Erzegovina,Maschio,88,01-01-1998
Bosnia-Erzegovina,Maschio,93,01-01-1999
Bosnia-Erzegovina,Maschio,115,01-01-2000
Bosnia-Erzegovina,Maschio,122,01-01-2001
Bosnia-Erzegovina,Maschio,120,01-01-2002
Bosnia-Erzegovina,Maschio,78,01-01-2003
Bosnia-Erzegovina,Maschio,102,01-01-2004
Bosnia-Erzegovina,Maschio,114,01-01-2005
Bosnia-Erzegovina,Maschio,120,01-01-2006
Bosnia-Erzegovina,Maschio,129,01-01-2007
Bosnia-Erzegovina,Maschio,125,01-01-2008
Bosnia-Erzegovina,Maschio,121,01-01-2009
Bosnia-Erzegovina,Maschio,123,01-01-2010
